asn	country	institution
7264	US	SBCC - Santa Barbara Community College District
7265	US	WOW-INTERNET - WideOpenWest Finance LLC
7266	US	INFOSEEK - InfoSeek
7267	US	GLOBALCOMMERCE - Global Commerce Link, LLC
7268	US	ATHENET - Athenet Internet Services
7269	US	ONESOURCE - OneSource Information Services,Inc
7270	US	NET2PHONE - IDT Corporation
7271	CA	LOOKAS - Look Communications Inc.
7272	US	TCIMET - TCI Telephony Services
7273	US	TPLNET - Tacoma Public Library
7274	US	TKI - Teknowledge Industries, Inc.
7275	US	WINGBERLIN - Wing Net
7276	US	UNIVERSITY-OF-HOUSTON - University of Houston
7277	CA	NEWEASTWIRELESS - NewEast Wireless Telecom Inc.
7278	US	ACCRUE - Accrue Software, Inc.
7279	US	AMOSPRESS - Amos Press, Inc.
7280	US	YAHOO-FC - Yahoo! Inc.
7281	US	BOOZ-AS - Booz Allen Hamilton Inc.
7282	US	DXNET-AS - DXNET
7283	US	THERIVER - THE RIVER / INTERNET ACCESS CO
7284	US	CDSINTERNET - CDS Internet
7285	US	SAGENET - SageNet LLC
7286	US	PBI-NET-BLK2 - AT&T Corp.
7287	US	PBI-NET-BLK2 - AT&T Corp.
7288	US	PBI-NET-BLK2 - AT&T Corp.
7289	US	PLATINUM - Platinum Internet Group
7290	US	SBIS-BLK - AT&T Corp.
7291	US	SBIS-BLK - AT&T Corp.
7292	US	SBIS-BLK - AT&T Corp.
7293	US	SBIS-BLK - AT&T Corp.
7294	US	SBIS-BLK - AT&T Corp.
7295	US	NETWORKAMERICA - Network America Systems, Inc.
7296	US	ALCHEMYNET - Alchemy Communications, Inc.
7297	US	AP-AS - The Associated Press
7298	BR	TNext S.A.
7299	CA	PRONET - ProNET Communications Inc.
7300	US	AS-INFOTRAX-SYSTEMS - InfoTrax Systems, L.C.
7301	US	NAS-AS - National Academy of Sciences
7302	US	ADVANCEDINTERNETCOMM - Advanced Internet Communications, Inc.
7303	AR	Telecom Argentina S.A.
7304	US	THECIA - Complete Internet Access, Inc
7305	US	INNERSET-AS - Innerset
7306	US	ASIANDEVBANK - Asian Development Bank
7307	CA	HIPPOCAMPUS - Hippocampus OSD Inc.
7308	US	SPRINT-PCS - Sprint PCS (Personal
7309	US	USWO-AS - The Virtual Marketing Corporation
7310	US	GARTNERGROUP - Gartner Group
7311	CA	FRONTIER - Frontier Networks
7312	CA	FDM4-CA - FDM4 International Inc.
7313	BR	Certisign Certificadora Digital S.A.
7314	US	TIS-ASN - Traveller, Inc.
7315	CO	COLOMBIA TELECOMUNICACIONES S.A. ESP
7316	US	NETECH - North East Technologies
7317	US	CSPS-AS - The First Church of Christ, Scientist
7318	US	FOCALINK-AS - Focalink
7319	US	WEBSPAN - Webspan Inc
7320	US	LANCITY - LANcity Company
7321	US	LNET-ASN - LocalNet Corporation
7322	US	MARSWEB - MARSweb, LLP
7323	US	ADVEST - Advest
7324	US	IFAX-ASN-1 - iFAX Solutions, Inc.
7325	MX	Universidad Autonoma De Tamaulipas
7326	US	NUNET - Northwestern University
7327	US	7THLEVEL - 7th Level, Inc.
7328	US	CHOP - The Children's Hospital of Philadelphia
7329	US	ATT-CMS - AT&T CMS
7330	US	INTERNETLABS - Internet Laboratories, Inc.
7331	US	IARC - Information Architecture
7332	US	LIGHTBOUND-AS - IQuest Internet
7333	US	ATH - AMERICAN TECHNOLOGY HOLDINGS, INC.
7334	US	WALLSTREET - Markit On Demand, Inc.
7335	US	LOOP - Loop Phone Organization
7336	US	GREENHOUSE-NY - Green House Data, Inc.
7337	US	SNIPEMAIL - Southern NJ Internet Providers (SNIP)
7338	US	GLOBALENET - GLOBAL ENTREPRENEURS NETWORK
7339	US	SIEMENS-CREDIT - Siemens Credit Corp
7340	AR	TELETEL
7341	US	VELOCITY - Velocity Network, Inc.
7342	US	VERISIGN-AS - VeriSign Infrastructure & Operations
7343	US	VISA-INTERACTIVE - Visa Interactive
7344	US	VIVIDNET - Vivid Internet Production Company
7345	US	LUCENTTECH - Alcatel-Lucent
7346	ZZ	-Reserved AS-
7347	US	USXPRESS - U.S. Xpress Enterprises, Inc.
7348	US	CRYSTALBALL - Crystalball software
7349	US	AS-TIERP-7349 - TierPoint, LLC
7350	US	METCOMM - MetComm.Net, LLC
7351	US	BLARG - Blarg! Online Services, Inc.
7352	US	WECOM-INC - WECOM INC
7353	US	PRIMUS - Primus Communications Corp.
7354	US	PRESIDIUM-INC - Presidium Inc.
7355	US	MEITCA-AS - Mitsubishi Electric ITA (HSL)
7356	US	MONDAYRE - Monday Properties
7357	US	AMERICANDATANET - American Data Net
7358	US	DNB-NBIC - Dun & Bradstreet
7359	US	CENTURYLINK-SPA-ZUNI - CenturyLink Communications, LLC
7360	US	PUREATRIA - Pure Atria Software
7361	US	MEDIASTREAM - Mediastream
7362	US	HST-CHRON - Hearst Newspapers, LLC
7363	US	YOMURA - Lightstream Transmission and Telecom Inc
7364	US	GROOVE - Reality Enhancements
7365	BR	CENTROIN PROVEDOR DE SERV. INTERNET. LTDA
7366	US	LEMURIACO - Lemuria Communications Inc.
7367	US	SYSONE - Systems One Amadeus
7368	US	AMERICAN-MESSAGING-DR - American Messaging Services L.L.C.
7369	US	INTERLINK - FORETHOUGHT.net
7370	US	CDSINC - Commercial Data Systems
7371	US	KINDERMORGAN-INC - El Paso CGP Company, L.L.C.
7372	US	IPEXCHANGE-NJ - AV-Network, Inc.
7373	US	GORGON-NJ - Gorgon Enterprises, Inc.
7374	US	VALUSERVE - ValuServe.Com
7375	US	HULANET - Hula Net, Inc
7376	US	INFORONICS - Inforonics, Inc.
7377	US	UCSD - University of California, San Diego
7378	US	CONNETIX - Connetix, Inc.
7379	US	VIEWCALL - Viewcall America
7380	US	AVANTCREDIT - Avant, Inc.
7381	US	SUNGARDRS - SunGard Availability Services LP
7382	US	MIENERGY - MiEnergy Cooperative
7383	CA	PWDL - Purdy's Wharf Development Limited
7384	US	INTUIT - Intuit Inc.
7385	US	ALLSTREAM - Integra Telecom, Inc.
7386	US	ILLINOIS-STATE-UNIV - Illinois State University
7387	US	TIOCOM - ESSA Systems Corp.
7388	US	DFXNET - Design FX Interactive LLC
7389	US	NETDOX - NetDox, Inc.
7390	ZA	NLSLAN
7391	US	DNIC-AS-07391 - Navy Network Information Center (NNIC)
7392	US	DELPHI-INTERNET-AS - Delphi Internet Services Corporation
7393	US	CYBERCON - CYBERCON, INC.
7394	US	FLYINGPENGUIN - Flying Penguin Productions Limited
7395	US	INTEGRATELECOM - Integra Telecom, Inc.
7396	US	OREGON-IX - Univerisity of Oregon (Oregon Exchange)
7397	US	DIGILINK-AS-MDR - Digilink, Inc.
7398	CA	MTS-TEST2-AS - MTS Inc.
7399	MX	Internet Cancun S.A. de C.V.
7400	US	WYOMING-UTAH - wyoming.com
7401	US	FWINET - Fort Wayne Internet, LLC
7402	CA	MULTIACTIVE - MultiActive Technologies Inc.
7403	CA	COLBA - Colba Net Inc.
7404	US	ACS - Ameritech Cellular
7405	US	GENUITY-XATL - Genuity Inc.
7406	US	PDX-DC - B&R Auto
7407	US	MCI-SGUM - MCIWorldcom-VANSIS
7408	MX	COMIMSA
7409	US	CONFLUX-NET - Grand Designs, Ltd
7410	US	BIGPLANET - big planet, inc.
7411	US	WINTERSTORM - StormNet Communications
7412	US	ENS-NET - EZ Network Systems, Inc.
7413	US	DONNAKARAN - Donna Karan Company
7415	US	ADSAFE-1 - Integral Ad Science, Inc.
7416	US	UCM - UNICOM
7417	AR	Ministry of Economy
7418	CL	TELEFÓNICA CHILE S.A.
7419	US	MONMOUTH-AS - Monmouth University
7420	ZM	ZAMNET-AS
7421	US	SPRINT-GSD-AS - Sprint Government Systems Division
7422	US	JAYHAWK-ASN - Jayhawk Acceptance Corporation
7423	US	PUTNAMFT - Putnam Fiduciary Trust
7424	US	USANET - USA.Net
7425	US	DAI - Distribution Architects International
7426	US	IPASS-AS - Hiway 2000, Inc. dba Passport
7427	US	MKTSYS - Market Systems International
7429	US	CYBERMEDIA - Cybermedia, Inc.
7430	US	TANDEM - Hewlett-Packard Company
7431	US	EGIX-CHAMPAIGN-AS - Egix, Inc.
7432	US	EGENIUS - Evil Geniuses for a Better Tomorrow
7433	US	CYBERMAX - Cybermax Communications, Inc.
7434	US	SAIL-WISP - SEGASoft, Inc.
7435	US	ATM-CIN - Attachmate
7436	US	IRON - Ironlight Digital
7437	CO	Rednet
7438	MX	Pegaso PCS, S.A. de C.V.
7439	US	VOYAGER-AS - CoreComm Internet Services Inc
7440	US	TRIPOD - Tripod, Inc.
7441	US	PACINFO - PACINFO
7442	CA	FEDERATED-CA-ASN - Federated Insurance Company of Canada
7443	CA	PRIMUS-AS7443 - Primus Telecommunications Canada Inc.
7444	GP	SYSTEL-AS - Systel S.A.R.L.
7445	CA	TELUS-AS-7445 - TELUS Communications Inc.
7446	CA	INTERNET-LOGIN - Login Communication Inc.
7447	US	ONLINEINTERACTIVE - Online Interactive
7448	US	CHOICE-HOTELS - Choice Hotels International, Inc.
7449	US	TIOGA-NET - Tioga Communications
7450	US	ADVANCED-ASN - Advanced Network & Services, Inc.
7451	CA	SHOP-NET - Internet Shop.Net Inc.
7452	US	NEIS-NET - New England Internet Services
7453	US	ACCELERATION - ACCELERATED DATA WORKS, INC.
7454	CA	CLICNET - ClicNet Telecom
7455	US	MOTO-INT1-AS - Motorists Mutual Insurance Company
7456	CA	INTERHOP - Interhop Network SERVICES Inc.
7457	US	THESPHERE-AS - The Sphere Information Services
7458	US	COGENT-7458 - Cogent Communications
7459	US	GRANDECOM-AS1 - Grande Communications Networks, LLC
7460	ZA	LIA-NET
7461	US	MTAU-AS - Minnesota Coalition for Internet Accessability
7462	US	ONEWEST - SRVnet, Inc.
7463	US	GOPROTO-AS - Proto Technologies
7464	US	I-WAYNET - I-Way Networks, Inc.
7465	BR	PROCERGS - Cia de Processamento de Dados do RGS
7466	US	FRB - Federal Reserve Bank
7467	AU	SENTENTIA-DC1-AU-AP Sententia Internet
7468	HK	CYBEREC-AS-AP Cyber Express Communication Ltd.
7469	AU	CCLOUD-AS-AP Comwire Cloud Pty Ltd
7470	TH	TRUEINTERNET-AS-AP TRUE INTERNET Co.,Ltd.
7471	AU	DAREBIN-AS-AU City of Darebin
7472	SG	NUS-AS-AP NUS Information Technology
7473	SG	SINGTEL-AS-AP Singapore Telecommunications Ltd
7474	AU	OPTUSCOM-AS01-AU SingTel Optus Pty Ltd
7475	AU	UQ-COMMERCIAL-AP The University of Queensland
7476	AU	QUESTNET-ACADEMIC-AP The University of Queensland
7477	AU	TEREDONN-AS-AP SkyMesh Pty Ltd
7478	TW	MACKAY-AS-AP Mackay Telecommunication Inc.
7479	HK	KDDHK-AS-AP KDD HONG KONG LIMITED
7480	TW	TIMENET-AS Timenet International Corp.
7481	TW	TWIX Data Communication Business Group
7482	TW	APOL-AS Asia Pacific On-line Service Inc.
7483	TW	NETPLUS-AS Hongkong Telecom Ltd., Taiwan Branch Office
7484	HK	HKACTL-AS-AP Hong Kong Air Cargo Terminals Ltd.
7485	TH	MUT-BOARDER-AS-AP Mahanakorn University of Technology (Thailand)
7486	AU	NEWS-INTERACTIVE-AS-AP News Interactive Australia
7487	IN	NTTDATA-AS-AP NTT DATA GLOBAL DELIVERY SERVICES LIMITED
7488	JP	JPNIC-2BYTE-ASBLOCK-AP for assignment to JPNIC members
7489	HK	HOSTUS-GLOBAL-AS HostUS
7490	AU	SIMTRONIC-AS-AP Simtronic
7491	PH	PI-PH-AS-AP PI-PHILIPINES
7492	AU	SWIFTELNET-AS-AP Swiftel Pty Ltd
7493	HK	PEOPLELINK-AS01-AP AS number for Peoplelink Internet Limited
7494	AF	CERETECHS-AS-AP CeReTechs Co ltd
7495	PH	AMANET-AS Amanet is the ISP service of AMA Computer College
7496	AU	WEBCENTRAL-AS WebCentral
7497	CN	CSTNET-AS-AP Computer Network Information Center
7498	AU	IINET-WA-AS-AP iiNet Limited
7499	HK	CNS-AS-AP Cloud Network Services (HK) Ltd
7500	JP	M-ROOT-DNS WIDE Project
7502	JP	IP-KYOTO Advanced Software Technology & Management Research Institute of KYOTO
7503	JP	AIR Air Internet Service Co.,Ltd.
7505	JP	MEDIAWEB Fujitsu Systems Applications & Support Limited
7506	JP	INTERQ GMO Internet,Inc
7509	JP	HINET Hokkaido University
7511	JP	SYNAPSE SYNAPSE Co.,Ltd.
7512	JP	WITH WITH Network
7513	JP	NETFORWARD Hitachi Systems, Ltd.
7514	JP	MEX Computer Engineering & Consulting, Ltd.
7515	JP	GROBAL-OCN NTT Communications Corporation
7516	JP	TOHKNET Tohoku Intelligent Telecommunication Co., Inc.
7517	JP	MII ICOMT Inc.
7521	JP	MFEED INTERNET MULTIFEED CO.
7522	JP	STCN STNet, Incorporated
7523	JP	TECHNOW RICOH JAPAN Corporation
7524	JP	HANSHIN ITEC HANKYU HANSHIN CO.,LTD.
7526	JP	MIND-US Mitsubishi Electric Information Network Corporation
7527	JP	JPIX Japan Internet Exchange Co., Ltd.
7529	JP	NETIRD NetIRD Inc.
7530	JP	BBTOWER-LAB BroadBand Tower, Inc.
7531	JP	GENOME GenomeNet Project
7532	TW	DIGICENTRE-TW DigiCentre Company Limited
7533	TW	NETO Neto Corporation
7534	TW	SILKERA-TW NEW SILKERA NETWORK
7535	TW	TISNET TISNET Technology Inc.
7536	TW	WONDER WonderNet International Corporation
7537	TW	PWTW Price Waterhouse Taiwan
7538	TW	SEEDER-AS-AP Seeder Computer Corporation LTD.
7539	TW	TWAREN-TW National Center for High-performance Computing
7540	HK	HKCIX-AS-AP HongKong Commercial Internet Exchange
7541	TW	FICNET-AS-AP FIC Network Service, INC.
7542	AU	EDGE-AS-AP Edge Technology Pty Ltd
7543	JP	PI-AU Pacific Internet (Australia) Pty Ltd
7544	PH	COMCLARK-IXG ComClark Network & Technology Corp
7545	AU	TPG-INTERNET-AP TPG Telecom Limited
7546	AU	DREAMTILT-AP Dreamtilt Service Provider Gladstone
7547	CN	CEIEC-NET-AP The East China regional network of CEInet
7548	CN	CEIHN-NET-AP The hainan regional network of CEInet
7549	CN	CEINC-NET-AP The North China regional network of CEInet
7550	AU	SBS-AS-AU ASN for SBS
7551	AU	CLOUDCENTRAL-AS-AP Cloud Central Pty Ltd
7552	VN	VIETEL-AS-AP Viettel Group
7553	AU	PETROSYS-AS-AP Petrosys Pty Ltd
7554	AU	ARUP-AS-AU Arup Australasia
7555	AU	HEALEY-AS-AP Healey Communications
7556	AU	UNITED-AP United Telecommunications Internet Services
7557	KR	KTNET-AS Korea Trade Network
7558	KR	KBS-AS Korean Broadcasting System (KBS)
7559	KR	DONGA-NET-AS donga.com
7560	KR	CHONBUK-AS Chonbuk National University
7561	KR	SAMSUNGELEC-AS-KR Samsung Electronics Co.
7562	KR	HCNSEOCHO-AS-KR HCN Dongjak
7563	KR	EDS Korea Internet Security Agency
7564	KR	KAERINET-AS Korea Atomic Energy Research Institute
7565	BD	BDCOM-BD Rangs Nilu Square, 5th Floor, House 75, Road 5/A, Dhanmondi R/A, Dhaka 1209
7566	AU	KUTAMO-AS-AP Kutamo Pty. Ltd.
7567	AU	ASIANONLINEAUS2-AS-AP Nexon Asia Pacific
7568	TH	CSLOX-IIG-AS-AP CS LOXINFO Public Company Limited.
7569	AU	AARNET-VIC-RNO Australian Academic and Reasearch Network (AARNet)
7570	AU	AARNET-NSW-RNO Australian Academic and Reasearch Network (AARNet)
7571	AU	AARNET-WA-RNO Australian Academic and Reasearch Network (AARNet)
7572	AU	AARNET-ACT-RNO Australian Academic and Reasearch Network (AARNet)
7573	AU	UTAS The University of Tasmania
7574	AU	AARNET-NT-RNO Australian Academic and Reasearch Network (AARNet)
7575	AU	AARNET-AS-AP Australian Academic and Reasearch Network (AARNet)
7576	CN	SGINET ShaoGuan Information Center
7577	HK	VTC-AS-AP Vocational Training Council Hong Kong
7578	AU	ADN-AS-AP Access Digital Networks Pty. Limited AS Communications Provider
7579	AU	INTERNEX-AS-AP InterNex Australia Pty Ltd
7580	AU	TRUMPET-AS-AP Trumpet Software International Pty Ltd
7581	HK	POWERNET-AS-AP POWERNET INTERNET GROUP
7582	MO	UMAC-AS-AP University of Macau
7583	AU	MESSAGELABS-AP MessageLabs - Now Part of Symantec
7584	NZ	TCR-AS-AP TCR Holdings Limted.
7585	AU	SUPERLOOP-AS-AP SUPERLOOP (AUSTRALIA) PTY LTD (PEX)
7586	AU	PDOX-AS-AP Paradox Digital Pty Ltd
7587	ID	ACCESSNETWORKS TRANSMEDIA-
7588	TH	PUBNET-TH-AS Thailand Public backbone Network
7589	SE	TELIANET-ENTERPRISE-SERVICES Telia Carrier Enterprise Services
7590	PK	COMSATS Commission on Science and Technology for
7591	AU	DOVE-AUST-AS-AP DOVE Australia Pty Ltd
7592	AU	COMCEN-AS P.O. Box 336
7593	IN	TRIJITNET-GDC TRIJIT TECHNOLOGIES PVT. LTD.
7594	AU	ONQ-AS-AP On Q
7595	SG	READYSPACE-SG Readyspace Cloud Services
7596	TH	IIR-TH-AS-AP Internet Information Research
7597	ID	IIX-AS-AP Indonesia Internet Exchange
7598	AU	FORCEPOINT-CLOUD-APAC-AS Forcepoint Cloud Services - AsiaPac region
7599	NZ	AMSNET-NZ-AP Advanced Management Systems Ltd
7600	AU	ESCAPE-NET-AS Escape.net
7601	AU	NETLINK-AS-AP Australian NetLink
7602	VN	SPT-AS-VN Saigon Postel Corporation
7603	AU	OMEN-AS-AP Omen Internet
7604	AU	ZETTAGRID-AS ZETTAGRID CLOUD
7605	AU	STARWON-AS-AP Starwon Internet
7606	AU	WAIA-AP Western Australian Internet Association
7607	AU	CA-AS-AP Commerce Australia
7608	AU	MERLIN-AS-AP Merlin Australia
7609	AU	AOL-AS-AP Ace on Line
7610	SG	NUS-GP-AS-AP NUS Gigapop
7611	PH	WNETWORK-AS-AP W NETWORK Inc
7612	AU	STARNET-AS-AP Starnet Internet Services P/L
7613	TH	CSLOXINFO-THAI-IX-1 CS Loxinfo Public Company Limited
7614	HK	ASIAINTERNET-AS-AP Asia Internet Limited, Hong Kong
7615	BT	BTIX-AS-AP Bhutan Internet Exchange
7616	TH	JINET-BKK-AS-AP Jasmine Internet Co, Ltd.
7617	HK	CTM-HK CTM (HK) Limited
7618	TW	GIP-TW-AP Orange Business
7620	KR	JBE-AS-KR Jeollabuk-do Provincial Office of Education
7621	KR	KYONGGI-AS Kyonggi University
7622	KR	ASN-KAIST-SAL Korea Advanced Institute of Science and Technology
7623	KR	HCNGYEONGBUK-AS-KR Gyeongbuk Cable TV
7624	KR	JEONJU-AS jeonju university
7625	KR	DAUM-AS Kakao Corp
7626	KR	SCOURTFAMILY-AS-KR SCOURTFAMILY
7627	KR	SBS-AS Seoul Broadcasting System
7628	AU	CORPCLOUDPTYLTD-AS-AP CorpCloud Pty Ltd
7629	PH	EPLDT-AS-AP 5F L.V. Locsin Bldg
7630	TH	THAIFARMERSBANK-AS-AP Progress Software Co., Ltd.
7631	AU	SUPERLOOP-AS-AP SUPERLOOP (AUSTRALIA) PTY LTD
7632	ID	LINKNET-EXCHANGE-AS-ID Linknet-Exchange ASN
7633	IN	SOFTNET-AS-AP Software Technology Parks of India - Bangalore
7634	SG	SGNET-AS-AP Singapore Government Network AS
7635	AU	TCC-AS-AP Townsville City Council
7636	TH	FAREAST-AS-AP Far East Internet Co., Ltd.
7637	AU	SLVTSD-AS-AP State Library Of Victoria
7638	CN	BJ-INTERWAY BTV INTERWAY CULTURAL COMMUNICATIONS
7639	CN	CPIPNET-AS-AP Beijing Capital Public Information Platform
7640	CN	CITICNET China International Trust & Investment Corporation Management Information Center
7641	CN	CHINABTN China Broadcasting TV Net
7642	MV	DHIRAAGU-MV-AP Dhivehi Raajjeyge Gulhun Plc (Dhiraagu)
7643	VN	VNPT-AS-VN Vietnam Posts and Telecommunications (VNPT)
7644	AU	EFTEL-AS-AP IT Solutions
7645	AU	DEAKIN-AS-AP Deakin University
7646	HK	BANKOFAMERICA-ATG-HK Bank of America N.A.
7647	AU	ONTHENET-AS-AP OnTheNet P/L
7648	AU	INTERWEB-AS-AP InterWeb Connections
7649	TW	MAINT-TW-TWNAP Nap Communication Inc.
7650	HK	EDUHK-AS-AP The Education University of Hong Kong
7651	HK	LINGNAN-AS-AP Lingnan University
7652	AU	EFTEL-AU Vianet Communications Pty Ltd
7653	AU	PIX-AS-AP Paradox Digital Pty Ltd
7654	TH	ISSP-AS-AP Internet Solution & Service Provider Co., Ltd.
7655	TW	TWNAP-ADMIN-AS-AP Peering AS
7656	TW	TWNAP-ADMIN-AS-AP Taiwan Network Access Point
7657	NZ	VODAFONE-NZ-NGN-AS Vodafone NZ Ltd.
7658	SG	NETNAME-1-NET-ISP 1-Net Singapore Pte Ltd
7659	HK	NEWSKY-AS-AP Newsky Internet Limited
7660	JP	APAN-JP Asia Pacific Advanced Network - Japan
7661	JP	NORTH Network Organization for Research and Technologyin Hokkaido
7663	JP	FFNET FUJIMIC INC.
7664	JP	HARENET Sanyo Computer Corp.Inc
7665	JP	OKIX Okayama Prefectural Government
7666	JP	OKIX-1 Mitsubishi Corporation
7667	JP	KDDLAB KDDI R&D Laboratories, INC.
7668	JP	HTCN Hokuriku Telecommunication Network Co.
7669	JP	DTC DIGITAL TECHNOLOGIES CORPORATION
7670	JP	CTNET Energia Communications, Inc.
7671	JP	MCNET NTT SmartConnect Corporation
7672	JP	FITWEB Hokuden Information System Service Co.,Ltd.
7673	JP	ALLES ejworks corporation
7674	JP	GOFORS NTT Communications Corporation
7676	JP	TAM TAM-Internet Service (T.A.M Co., Ltd.)
7677	JP	DNP Dai Nippon Printing Co., Ltd
7678	JP	PROX Prox System Design Inc.
7679	JP	QTNET QTnet,Inc.
7682	JP	HOTNET HOKKAIDO TELECOMMUNICATIONS NETWORK Co., Inc.
7683	JP	TRUNK-AS trunk inc.
7684	JP	SAKURA-A SAKURA Internet Inc.
7686	JP	ATNETHOME Technology Networks Inc.
7687	JP	D-CRUISENET TOYOTA DIGITAL CRUISE.INCORPORATED
7688	JP	MISH Nippon Internet Access Inc.
7690	JP	MIRAI Mirai Communication Network Inc.
7692	CN	CETIN-AS-AP China Engineering Technology Informations Networks
7693	TH	COMNET-TH KSC Commercial Internet Co. Ltd.
7694	AU	EFTEL-AU IT Solutions
7695	HK	JWTNET-HK-AS WPPNET-AS-AP Company
7696	NZ	MODICAGROUP-AS-AP Modica Group Limited
7697	AU	CSBT-AS-AP Complete Strategic Business Technology
7698	AU	NETEXPRESS-AS-AP NetExpress Pty Ltd
7699	AU	XTREMECOMAU1-AS-AP Xtreme.com.au Transit AS #1
7700	SG	SINGTEL-DVBIP-AS-AP SINGAPORE TELECOMMUNICATIONS LTD
7701	AU	CAIRNSNET-AS-AP CairnsNet Pty Ltd
7702	AU	THEHUB-AS-AP Hub Communications
7703	AU	BEKKERS-AS-AP Bekkers Information Technology
7704	AU	ANSCOMMS-AS-AP ANS Communications
7705	HK	COMNET-AP-ASN1 ComNet Telecom International Ltd. AS Number
7706	AU	SAIA-AS-AP South Australian Internet Association
7707	PH	PHIX-AS-AP PHILIPPINE LONG DISTANCE TELEPHONE COMPANY
7708	TW	TWNAP-AS-AP Taiwan Network Access Point
7709	TW	TWNAP-AS-AP Taiwan Network Access Point
7710	TW	MYNET-AS-AP PRC Technology Co., Ltd.
7711	TW	TWNAP-TWIX-AP Twain Network Access Point
7712	KH	SABAY Sabay Digital (Cambodia)
7713	ID	TELKOMNET-AS-AP PT Telekomunikasi Indonesia
7714	NZ	NETLINK-NZ-AS-AP TelstraClear Ltd
7715	TH	INET-GSB-TH GSB
7716	AU	WORLEY-AS-AP Worley Organisation Australia
7717	ID	OPENIXP-AS-ID-AP OpenIXP ASN
7718	AU	TRANSACT-SDN-AS TransACT Capital Communications Pty Limited
7719	AU	UPNAWAY-AS-AP Up n Away Net Solutions
7720	AU	NETWAY-AS-AP Netway Technologies
7721	AU	QNET-AS-AP Q-Net Australia
7722	AU	TELPACIFIC-AS-AP TELPACIFIC P/L
7723	US	EMERGENCY24-AS - Emergency 24
7724	US	IECBAL - Internet Enterprise Center
7725	US	COMCAST-7725 - Comcast Cable Communications, LLC
7726	US	FITC-AS - FedEx Internet Technologies Corporation
7727	HN	Hondutel
7728	US	GRILLO - Grillo Networking, Inc.
7729	US	CHI-IX - MCSNet
7730	US	NETLAN - NETLAN Inc.
7731	US	WEBSTOR - Internet Quality Services
7732	US	CDC-AS2 - Chattanooga Data Connection, Inc.
7733	US	FRZRMTN - Frazier Mountain Internet Service
7734	CA	TDBANK - Toronto Dominion Bank
7735	US	REDSHIFT - Red Shift, Inc.
7736	US	MARKETGUIDE - MarketGuide
7737	US	ASWELLNET - Aswell Corporation
7738	BR	Telemar Norte Leste S.A.
7739	US	AUTOWEB - AutoWeb Interactive
7740	US	WJP - WJP Networking
7741	US	CIBC-WORLD-MARKETS - CIBC World Markets
7742	US	DOITNOWDOTCOM - InternetNow, Inc.
7743	US	AS-7743 - JPMorgan Chase & Co.
7744	US	WCD-AS - WCD Enterprises
7745	US	BIGSKY-AS - Big Sky Net
7746	US	APMTECH - APM Technologies, Inc.
7747	US	EXECUTRAIN - Executrain
7748	US	SHUREAS - Shure Incorporated
7749	US	VR1 - VR1
7750	US	ONSALE - Software Partners, Inc.
7751	US	DANCRIS - Dancris Telecom L.L.C
7752	US	THRES - THRESHOLD COMMUNICATIONS,INC.
7753	US	GREENCLOUD - ipHouse
7754	US	MCAFEE - McAfee, Inc.
7755	US	COMBASE - ComBase Communications
7756	US	TWC-7756-NA - Charter Communications Inc
7757	US	COMCAST-7757 - Comcast Cable Communications, LLC
7758	US	GLOBAL-ONE-NMC - Global One
7759	US	OSTER - Oster Communications, Inc.
7760	US	STAC - Stac, Inc.
7761	US	MORNINGSTAR - Morningstar, Inc.
7762	US	NETMAS - NETMANAGE
7763	US	CYBERAMERICACORP - Cyber America Corporation
7764	US	CENSUSBUREAU - U. S. Bureau of the Census
7765	CA	KOUMBIT - Koumbit
7766	US	GRINNET - Grin Net, LLC.
7767	US	EB - Encyclopaedia Britannica
7768	US	TECHNICOLOR - Technicolor, Inc.
7769	US	WARPED - Internet Extra Corporation
7770	US	TRITON - Triton Technologies, Inc.
7771	US	AMULET - Amulet Software
7772	US	ST-LOUIS-SCHNEIDER-DC - Schneider Automation, Inc.
7773	US	SD-NET - South Dakota State Government
7774	US	ALASKA - University of Alaska
7775	US	IRONTRUST-NETWORKS - Irontrust Networks
7776	US	CENTURYLINK-MEBT-7776 - CenturyLink Communications, LLC
7777	US	VIX2 - Mail Abuse Prevention System LLC
7778	US	PARACEL - Paracel Online Systems
7779	US	LD - Loren Data Corp.
7780	CA	AS7780-ROGERS-COM - Rogers Communications Canada Inc.
7781	CA	NETCONNECT - Accelerated Connections Inc.
7782	US	ALSK-7782 - Alaska Communications Systems Group, Inc.
7783	US	EARTHSTATION - EarthStation Inter.net
7784	US	ATLANTECH - Atlantech Online, Inc.
7785	US	ALEXUS - Alexus
7786	US	NPAC - NeuStar, Inc.
7787	US	FAN-NETWORK - Fan Network Consulting
7788	CA	MAGMA-COMM - Magma Communications Ltd.
7789	US	FISHBONE - Fishbone Communications, Inc
7790	US	PACIFIER - Pacifier Computers
7791	US	EARLY - Early Access
7792	US	3M-HDQ-AS - 3M Company
7793	US	JMX-AS - JMX
7794	CA	EXECULINK - Execulink Telecom Inc.
7795	US	LUMOS - LUMOS Networks, Inc.
7796	US	ATMLINK - ATMLINK, INC.
7797	US	YAB - Flatland Center BBS
7798	US	SYRLANG - Syracuse Language Systems
7799	US	OLYPENASN - Olypen, Inc.
7800	US	ALLINA-HEALTH-SYSTEM-INC - Allina Health System, Inc.
7801	US	BOSNET - Bosnet Communications, Inc
7802	US	INTELLI - Intelli.com
